time,BlueCarCo,BlueCarCm,GreenCarCo,GreenCarCm,BlueCarSpeed,BlueCarPositionX,BlueCarPositionZ,GreenCarSpeed,GreenCarPositionX,GreenCarPositionZ,distance,ƒ{ƒ^ƒ“
0,1,1.403442,0,0,0,143,80,0,0,0,20,off
1,1,1.403442,1,1.499904,47.20021,145.3425,92.11633,46.91162,143,112.0527,20.19783,off
2,1,1.403442,1,1.499998,54.54272,146.6869,106.4841,54.25461,143,126.405,20.22318,off
3,1,1.403442,1,1.5,59.87059,147.3368,122.9067,52.6712,143,142.0445,19.4297,off
4,1,1.403442,1,1.5,60.01588,147.6135,139.8886,45.32684,143,155.9073,16.2697,off
5,1,1.403442,1,1.5,59.87036,147.7208,156.8717,39.99847,143,167.7788,11.13007,off
6,1,1.403442,1,1.5,60.01557,147.7489,173.8559,40.14404,143,179.1327,5.498993,off
7,1,1.403442,1,1.5,59.87,147.75,190.8393,39.99847,143,190.4858,0.1304626,off
8,1,1.403442,1,1.5,60.01556,147.75,207.8235,40.14404,143,201.8397,5.761536,off
9,1,1.403442,1.205752,1.5,59.87077,145.4206,224.5446,43.45642,143,213.4232,10.87917,off
10,1,1.403442,1.222993,1,60.01608,143.5937,241.4209,48.20801,143,226.7243,14.42955,off
11,1,1.403442,1.229294,1.487771,59.8693,143.0751,258.3951,42.01447,143,239.3383,18.82257,off
12,1,1.403442,1,1,60.01282,143.0006,275.3788,48.20801,143,252.2873,22.82448,off
13,1,1.467673,1,1,60.01282,143,292.3387,40.86365,143,264.8853,27.22723,off
14,1.069274,1.442915,1,1,59.87,143,309.1971,39.85291,143,276.2119,32.76297,off
15,1,1,1,1,54.25598,143,325.5414,40.00122,143,287.525,37.79492,off
16,1,1,1,1,46.91162,143,339.8529,39.85291,143,298.8373,40.79343,off
17,1,1,1,1,39.85291,143,352.0869,40.00122,143,310.1504,41.71509,off
18,1,1,1,1,40.00122,143,363.3999,39.85291,143,321.4626,41.71509,off
19,1,1,1,1,39.85291,143,374.7122,40.00122,143,332.7757,41.71509,off
20,1,1,1,1,40.00122,143,386.0253,39.85291,143,344.088,41.71509,off
21,1,1,1,1,39.85291,143,397.3375,40.00122,143,355.401,41.71509,off
22,1,1,1,1,40.00122,143,408.6506,39.85291,143,366.7133,41.71509,off
23,1,1,1,1,39.85291,143,419.9629,40.00122,143,378.0264,41.71509,off
24,1,1,1,1,40.00122,143,431.2759,39.85291,143,389.3386,41.71509,off
25,1,1,1,1,39.85291,143,442.5882,40.00122,143,400.6517,41.71509,off
26,1,1,1,1,40.00122,143,453.9013,39.85291,143,411.964,41.71509,off
