time,BlueCarCo,BlueCarCm,GreenCarCo,GreenCarCm,BlueCarSpeed,BlueCarPositionX,BlueCarPositionZ,GreenCarSpeed,GreenCarPositionX,GreenCarPositionZ,distance,ƒ{ƒ^ƒ“
0,1,1.499996,0,0,11.66473,143,130.757,0,0,0,18.75837,on
0,1,1.499996,0,0,11.80756,143,130.8226,0,0,0,18.82396,on
0,1,1.499996,0,0,11.95313,143,130.889,0,0,0,18.89037,on
0,1,1.499996,0,0,12.09595,143,130.9562,0,0,0,18.95755,on
0,1,1.499996,0,0,12.23877,143,131.0242,0,0,0,19.02554,on
0,1,1.499997,0,0,12.38434,143,131.093,0,0,0,19.09432,on
0,1,1.499997,0,0,12.52716,143,131.1626,0,0,0,19.1639,on
0,1,1.499997,0,0,12.67273,143,131.233,0,0,0,19.23429,on
0,1,1.499997,0,0,12.81555,143,131.3042,0,0,0,19.30547,on
0,1,1.499997,0,0,12.96112,143,131.3762,0,0,0,19.37744,on
0,1,1.499997,0,0,13.10394,143,131.449,0,0,0,19.45022,on
0,1,1.499997,0,0,13.24677,143,131.5226,0,0,0,19.52377,on
0,1,1.499997,0,0,13.39233,143,131.597,0,0,0,19.59814,on
0,1,1.499997,0,0,13.53516,143,131.6721,0,0,0,19.6733,on
0,1,1.499997,0,0,13.68073,143,131.7482,0,0,0,19.74927,on
0,1,1.499997,0,0,13.82355,143,131.825,0,0,0,19.82603,on
0,1,1.499997,0,0,13.96912,143,131.9026,0,0,0,19.90359,on
0,1,1.499997,0,0,14.11194,143,131.981,0,0,0,19.98196,on
0,1,1.499997,0,0,14.25476,143,132.0602,0,0,0,20.06111,on
0,1,1.499997,0,0,14.40033,143,132.1402,0,0,0,20.14108,on
0,1,1.499997,0,0,14.54315,143,132.2209,0,0,0,20.22183,on
0,1,1.499997,0,0,14.68872,143,132.3026,0,0,0,20.30341,on
0,1,1.499997,0,0,14.83154,143,132.3849,0,0,0,20.38577,on
0,1,1.499998,0,0,14.97711,143,132.4682,0,0,0,20.46893,on
0,1,1.499998,0,0,15.11993,143,132.5522,0,0,0,20.5529,on
0,1,1.499998,0,0,15.26276,143,132.6369,0,0,0,20.63766,on
0,1,1.499998,0,0,15.40833,143,132.7225,0,0,0,20.72323,on
0,1,1.499998,0,0,15.55115,143,132.8089,0,0,0,20.80959,on
0,1,1.499998,0,0,15.69672,143,132.8961,0,0,0,20.89677,on
0,1,1.499998,0,0,15.83954,143,132.9841,0,0,0,20.98474,on
0,1,1.499997,0,0,15.98511,143,133.073,0,0,0,21.07352,on
0,1,1.499997,0,0,16.12793,143,133.1626,0,0,0,21.16309,on
0,1,1.499997,0,0,16.27075,143,133.2529,0,0,0,21.25346,on
0,1,1.499997,0,0,16.41632,143,133.3441,0,0,0,21.34463,on
0,1,1.499997,0,0,16.55914,143,133.4361,0,0,0,21.43659,on
0,1,1.499997,0,0,16.70471,143,133.5289,0,0,0,21.52937,on
0,1,1.499997,0,0,16.84753,143,133.6225,0,0,0,21.62294,on
0,1,1.499997,0,0,16.9931,143,133.7169,0,0,0,21.71732,on
0,1,1.499997,0,0,17.13593,143,133.8121,0,0,0,21.81249,on
