time,BlueCarCo,BlueCarCm,GreenCarCo,GreenCarCm,BlueCarSpeed,BlueCarPositionX,BlueCarPositionZ,GreenCarSpeed,GreenCarPositionX,GreenCarPositionZ,distance,ƒ{ƒ^ƒ“
0,1,1.403442,0,0,0,143,80,0,0,0,20,off
1,1,1.403442,1,1.405445,33.66348,143.1731,90.52588,39.99991,144.7506,111.0772,20.75696,off
2,1,1.403442,1,1.405445,26.31912,143.1731,99.00307,40.01179,141.4727,121.5649,22.76728,off
3,1,1.403442,1,1.405445,18.97614,143.1731,105.3995,40.00229,144.2673,132.0441,26.85011,off
4,1,1.402906,1,1.405445,12.7841,143.1072,109.7052,39.99766,141.9868,142.5258,33.0261,off
5,1,1.402906,1,1.405445,19.98428,143.4037,114.3432,39.99825,143.761,153.0072,38.86945,off
6,1,1.402906,1,1.405445,27.32727,143.1833,121.0619,40.00128,141.7675,163.709,42.8649,off
7,1,1.194169,1,1,34.67285,143.0994,129.8651,40.14404,143.0037,174.9277,45.2849,off
8,1,1,1,1,39.99847,143.0994,140.671,39.99847,143.0037,186.2809,45.83284,off
9,1,1,1,1,40.14404,143.0994,152.025,40.14404,143.0037,197.6348,45.83203,off
10,1,1,1,1,39.99847,143.0994,163.3781,39.99847,143.0037,208.9879,45.83284,off
11,1,1,1,1,40.14404,143.0994,174.732,40.14404,143.0037,220.3418,45.83203,off
12,1,1,1,1,39.99847,143.0994,186.0851,39.99847,143.0037,231.6949,45.83284,off
13,1,1,1,1,40.14404,143.0994,197.4391,40.14404,143.0037,243.0489,45.83203,off
14,1,1,1,1,39.99847,143.0994,208.7922,39.99847,143.0037,254.402,45.83284,off
15,1,1,1,1,40.14404,143.0994,220.1461,39.85291,143.0037,265.7207,45.7968,off
16,1,1,1,1,39.99847,143.0994,231.4992,40.00122,143.0037,277.0338,45.75594,off
17,1,1,1,1,40.14404,143.0994,242.8531,39.85291,143.0037,288.346,45.71509,off
18,1,1,1,1,39.99847,143.0994,254.2063,40.00122,143.0037,299.6591,45.67422,off
