time,YellowCarCo,YellowCarCm,GreenCarCo,GreenCarCm,YellowCarSpeed,BlueCarPositionX,BlueCarPositionZ,GreenCarSpeed,GreenCarPositionX,GreenCarPositionZ,distance,CoButton,CmButton
0,1,1.056306,0,0,0,143,115.1,0,143,96.38,18.72,False,False
1,1,1.328773,0,0,40.14404,143,126.4415,36.61469,142.9996,107.0184,19.42305,False,False
2,1,1.388805,0,0,39.99847,143,137.7946,34.79645,142.9988,117.1335,20.66112,False,False
3,1,1.402025,0,0,44.17603,143,149.4845,32.96448,142.998,126.7275,22.75699,False,False
4,1,1.373863,0,0,39.99847,143,161.4536,31.14349,142.9973,135.8044,25.64919,False,False
